Tarih,Yıl,Ay,Bölge,Toplam_Üretim_MWh,Toplam_Tüketim_MWh,Yenilenebilir_Oranı,Pik_Talep_MW,Önerilen_Enerji_Türü
2015-01-15,2015,1,Marmara,26236.203565420874,27418.706794702677,0.5427975767245621,5993.292420985183,Karma Enerji Üretimi
2015-01-15,2015,1,Ege,19680.559213273096,19003.537192051717,0.2732334448672798,7330.880728874676,Termik (Kömür/Doğalgaz)
2015-01-15,2015,1,İç Anadolu,33033.45035229626,33720.78586912626,0.258233797718321,7849.549260809971,Termik (Kömür/Doğalgaz)
2015-01-15,2015,1,Akdeniz,39973.27922401265,38823.40431894414,0.32272998688284027,3917.022549267169,Termik (Kömür/Doğalgaz)
2015-01-15,2015,1,Karadeniz,24127.267288786134,24186.99779309689,0.42277800745684635,4456.14570099021,Karma Enerji Üretimi
2015-01-15,2015,1,Doğu Anadolu,33355.586841671386,32153.097457873737,0.3668578594140873,4831.8092164684585,Karma Enerji Üretimi
2015-01-15,2015,1,Güneydoğu Anadolu,28682.099526511076,29500.044057235365,0.32986951286334387,5571.1721920680575,Termik (Kömür/Doğalgaz)
2015-02-15,2015,2,Marmara,32772.437065861275,31286.04453532315,0.49301794076057537,3852.620618436458,Karma Enerji Üretimi
2015-02-15,2015,2,Ege,16951.547789558386,17712.478253237536,0.6362528132298237,7041.986740582306,Yenilenebilir (Güneş/Rüzgar/Hidro)
2015-02-15,2015,2,İç Anadolu,24138.41307520112,23167.257404822485,0.5236932106048628,5200.762468698007,Karma Enerji Üretimi
2015-02-15,2015,2,Akdeniz,18661.147045343365,18652.146606380713,0.26375540844608736,7546.60201039391,Termik (Kömür/Doğalgaz)
2015-02-15,2015,2,Karadeniz,22763.399448000506,23133.35541579563,0.3746844304357644,5600.340105889054,Karma Enerji Üretimi
2015-02-15,2015,2,Doğu Anadolu,31401.30838029839,30411.710137626393,0.6378338511058235,6875.664116805572,Yenilenebilir (Güneş/Rüzgar/Hidro)
2015-02-15,2015,2,Güneydoğu Anadolu,43184.96824692567,44890.02890604926,0.48915999152443407,7609.371175115584,Karma Enerji Üretimi
2015-03-15,2015,3,Marmara,17654.775061557586,17118.039643672724,0.2680909155642152,4626.651653816321,Termik (Kömür/Doğalgaz)
2015-03-15,2015,3,Ege,26660.31869068446,26050.72792250031,0.5814950036607718,4783.766633467946,Yenilenebilir (Güneş/Rüzgar/Hidro)
2015-03-15,2015,3,İç Anadolu,23428.035290621425,23528.0638249217,0.30636968998990505,7010.984903770199,Termik (Kömür/Doğalgaz)
2015-03-15,2015,3,Akdeniz,17236.519310393123,18075.74291886242,0.558897907718663,3993.578407670862,Yenilenebilir (Güneş/Rüzgar/Hidro)
2015-03-15,2015,3,Karadeniz,15165.663513708072,15644.081701258045,0.5327429375390469,6645.035840204937,Karma Enerji Üretimi
2015-03-15,2015,3,Doğu Anadolu,38138.11040057837,36513.59719079016,0.3933862914177091,3579.3452976256485,Karma Enerji Üretimi
2015-03-15,2015,3,Güneydoğu Anadolu,40893.102776267806,41397.30707351587,0.38235920994105965,3317.791751430118,Karma Enerji Üretimi
